Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Japan	JPN	1672.312813	1859.441627	2419.205996	3273.857011	3577.145667	3857.747531	4331.009597	5285.679752	7387.210581	7601.891624	7849.427461	8533.859361	7874.590265	8506.079246	8992.824525	9578.966302	14050.99929	16902.1949	20424.0781	20217.73074	20663.53016	23257.94555	25049.84174	28414.49854	30982.03526	34506.92866	30725.6833	27858.81928	25163.52427	28319.91096	30451.64327	26772.44225	25449.37409	27559.5367	30039.1657	29741.02082	28339.62771	28276.00391	30965.21121	31695.25179	35066.92354	38101.78272	38602.86861	32487.2001	30690.23136	28061.8243	31117.79901
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Kuwait	KWT	2971.219429	3683.537411	3666.163729	4382.745658	10042.56586	10792.30344	11554.72472	11960.12941	12643.78092	..	20732.37994	20918.60534	16991.3819	14902.694	14638.23505	13613.42601	12723.58426	12989.67454	12191.90287	13741.91567	11097.98042	7202.115605	..	..	..	17341.40754	19738.4665	18863.31442	15317.28112	16135.78893	18682.83094	16055.75816	16387.42751	19830.95334	24786.83322	31636.67868	39264.11981	42553.16144	48801.43297	34977.90496	34427.2205	40923.6279	43467.14898	41802.6871	38379.06999	27112.10983	24852.10652
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Luxembourg	LUX	2530.22741	2572.214274	3323.681405	4411.574095	5588.745906	5777.589883	6737.47342	7682.958076	9607.065849	11108.27932	12325.90783	10802.00229	11027.20083	11131.85913	10739.10373	11149.76995	15881.65564	19796.91085	21913.43881	22933.29296	29305.6884	31712.4961	34636.01786	34575.42854	36403.20293	43763.28164	43159.67979	39827.30581	39020.57846	41365.37166	37601.76258	37669.95457	39162.4753	46709.71447	61392.51955	65974.62948	64084.56194	81386.92269	82019.94553	56664.43621	62531.4022	65004.25798	59247.02784	62611.33184	63447.36888	55156.67774	56303.4896
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Netherlands	NLD	2579.655223	2945.565559	3583.320042	4740.084805	5482.118757	6272.327557	6847.077599	7940.184308	9591.514744	10894.63968	11564.69704	9557.176021	9208.677906	8852.56629	8285.636235	8081.976904	11345.18552	13888.31357	14658.10598	14378.74856	17260.03123	17711.61454	19383.52852	18873.58463	20387.45575	24523.1284	24412.13042	22397.87004	23094.67092	23912.91961	22197.52459	22035.7983	23889.95865	29624.75307	33748.6913	34362.13158	37802.22922	43374.89513	46442.6844	42842.15362	42029.31224	45289.8334	41739.4893	43173.20967	42966.895	37001.52996	37534.31123
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Norway	NOR	2758.592286	3144.586233	3707.634184	4797.862075	5679.491093	6820.485186	7305.917065	8257.96534	9027.909399	10033.8492	12061.38408	12035.88647	11923.3652	11429.87584	11465.0391	12198.6731	14909.71597	17574.41474	18598.32153	18023.34231	20749.63494	21556.04835	23211.06192	21121.95044	22420.33543	26945.37767	28340.46576	28437.34108	28046.04511	28477.79178	28103.82045	29663.14932	33324.60178	39165.16571	44685.99313	51829.17342	56853.32786	65916.97303	73170.39891	62001.06432	69002.03034	77456.7155	78356.04735	80793.16361	77700.83122	61142.76098	57982.8633
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Qatar	QAT	2396.776565	2702.558482	3087.309383	4314.814762	7549.769567	8479.048605	9705.701761	10005.48224	10956.9532	6421.327433	18159.5871	24142.45535	21311.37002	16102.68611	13104.72729	12880.79853	11397.50195	10649.55252	10820.21998	9761.647965	10147.17071	10740.78688	11409.28472	10647.83466	11100.04832	11775.35331	11724.53441	14819.07807	..	..	..	..	..	..	28572.1731	30799.25873	39018.58266	44073.43378	52349.66745	38976.22692	43863.24588	53108.97983	57284.80324	59202.28391	60396.03308	50409.75209	..
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Saudi Arabia	SAU	663.2832748	833.0664992	1071.177139	1514.388964	4271.293959	4879.16824	6561.293115	7040.609672	7250.340955	6806.971182	10473.25961	12680.61364	11431.5651	9311.7512	8091.617107	7544.66589	5935.453025	5443.618954	5344.937429	5397.717813	6028.58005	6503.639864	6668.211174	6319.707588	6151.069731	6389.430393	6739.839625	7013.347577	6257.054219	6759.826929	7353.320019	7130.243975	7238.595891	7685.842744	8731.973324	10458.23438	11807.52601	13004.25507	15330.7527	13393.50359	15481.76655	18559.6527	19710.81445	19508.18137	19594.57077	17257.35857	16720.89568
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Singapore	SGP	..	995.9776924	1166.984729	1517.499878	2066.700032	2260.020293	2432.799268	2473.97367	2790.550424	3405.00572	4050.804281	4539.433692	4933.928882	5523.93008	6171.373877	5970.513226	5662.790977	6102.169596	7414.526641	8787.770567	10075.10005	12256.89668	13824.68228	15337.03084	18734.8445	21982.04262	22856.60519	23637.73986	19011.34159	18782.92761	20317.99714	18034.15325	17942.36094	18957.85725	21349.33877	23502.52862	27676.87019	32800.27165	32217.08504	31020.41865	40103.5679	44848.87833	45248.22611	46665.96087	47071.16157	43618.1112	43518.50063
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Sweden	SWE	4162.080806	4508.948693	5296.018536	6413.089011	7050.752104	8849.672332	9468.420673	9859.7181	10825.33828	12757.05296	14680.54437	13275.41919	11593.51031	10583.81896	11050.46345	11509.60183	15273.81898	18595.29126	20852.60405	21696.91845	25680.5218	26550.49627	26897.45247	19714.567	21627.71814	25361.81244	27553.11531	25253.92123	25557.05433	25927.68002	24768.02446	22665.63801	24847.52321	31821.26497	36153.54603	36958.34958	40332.58575	46731.03925	48692.5428	39251.61599	44690.36544	50872.32304	48760.07851	51432.94886	50489.34809	43232.80839	44237.72785
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	Switzerland	CHE	..	..	..	..	..	..	..	..	..	..	16104.76723	14799.72233	14889.76094	14762.72391	14198.50527	14210.33943	20006.85556	24601.5094	26451.45697	24863.18169	31039.54597	30926.86652	31653.64996	30841.16579	33736.23207	39974.43114	38566.96641	34286.39717	35411.83445	34727.70702	32689.68954	32046.60083	33646.8322	40810.59414	45285.44225	47966.28164	49969.16846	50933.33761	52736.55803	56190.25973	63545.1998	71216.58907	68151.60803	69239.99927	68975.18929	66815.6885	63377.62595
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	UAE	ARE	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	28946.56528	28041.96463	29435.28173	32144.28426	33469.94484	36411.61276	37531.39856	38831.06282	28504.9511	31812.97543	36076.38284	37502.56708	39176.95197	40199.43283	36198.91235	34579.66959
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	UK	GBR	2224.646823	2486.692414	2828.098614	3185.780353	3393.027093	3989.736621	3820.736705	4232.767465	5375.48379	6839.95163	8641.831478	8152.896122	7794.102365	7441.351888	7005.185212	7335.573287	9227.841448	11308.65387	13812.22314	13850.09164	16077.92596	16821.31024	17619.54555	15857.67021	17390.36112	18929.51592	19899.41381	22401.15621	24346.8427	24369.85552	24130.68062	23724.12946	25857.82166	29716.90309	34862.90138	36607.65918	38128.39097	43296.22749	40132.92607	32747.35955	33828.0071	35967.99075	35699.95703	36300.13073	39483.70879	37445.54599	34167.08679
Adjusted net national income per capita (current US$)	NY.ADJ.NNTY.PC.CD	USA	USA	4578.801286	4873.514472	5322.293302	5890.483129	6138.898247	6558.640362	7237.454421	7979.285991	8927.108099	9552.850435	10147.99267	11453.66992	12028.8793	12793.09163	14294.66208	15187.25151	15898.14222	16806.84945	18217.24009	19192.86972	19955.26851	20337.70612	21267.15524	21972.11536	23190.32375	24199.11635	25419.3384	26913.26911	28390.02186	29696.38279	31293.57794	31985.35024	32641.73118	33776.97464	35648.64293	37662.14612	39871.38238	40558.37031	40330.50224	39351.60859	40991.68426	42610.37052	44592.96929	45465.09253	47297.05524	48967.22169	49574.32501
