Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Germany	DEU	156000000	12000000	146000000	133000000	438000000	332000000	713000000	771000000	574000000	740000000	1434000000	1364000000	1377000000	226000000	1208000000	1446000000	1662000000	1862000000	1631000000	1431000000	1596000000	1940000000	1584000000	2297000000	2858000000	1283000000	1415000000	969000000	1388000000	1202000000	1816000000	2482000000	1437000000	1500000000	2800000000	1465000000	1950000000	939000000	1808000000	1857000000	1610000000	895000000	902000000	1660000000	1126000000	2068000000	2764000000	3310000000	2380000000	2521000000	2725000000	1351000000	847000000	738000000	1774000000	1769000000	2535000000	1653000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Iran, Islamic Rep.	IRN	..	..	3000000	..	..	..	..	28000000	..	..	23000000	6000000	106000000	6000000	129000000	81000000	..	..	..	..	0	0	0	0	1000000	1000000	1000000	1000000	1000000	1000000	0	1000000	1000000	1000000	0	1000000	2000000	0	0	0	0	0	3000000	9000000	1000000	2000000	75000000	..	43000000	45000000	45000000	86000000	21000000	12000000	47000000	15000000	5000000	10000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Israel	ISR	..	..	..	..	5000000	10000000	14000000	13000000	23000000	24000000	13000000	21000000	31000000	16000000	51000000	118000000	62000000	202000000	212000000	192000000	279000000	221000000	257000000	418000000	281000000	209000000	354000000	137000000	75000000	212000000	85000000	152000000	324000000	383000000	296000000	166000000	286000000	247000000	229000000	190000000	404000000	469000000	574000000	409000000	609000000	510000000	406000000	544000000	349000000	737000000	655000000	541000000	461000000	426000000	399000000	727000000	1433000000	1263000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Italy	ITA	104000000	244000000	261000000	240000000	385000000	295000000	243000000	149000000	192000000	325000000	280000000	395000000	296000000	341000000	417000000	526000000	529000000	505000000	691000000	1303000000	1168000000	1715000000	1699000000	1212000000	1278000000	920000000	228000000	617000000	386000000	335000000	206000000	349000000	248000000	341000000	208000000	297000000	291000000	454000000	426000000	504000000	208000000	256000000	478000000	365000000	263000000	832000000	553000000	749000000	422000000	512000000	537000000	944000000	747000000	867000000	683000000	711000000	670000000	660000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Japan	JPN	1000000	61000000	100000000	8000000	14000000	..	5000000	..	..	34000000	..	15000000	8000000	34000000	53000000	..	..	..	9000000	11000000	167000000	..	..	17000000	17000000	44000000	99000000	..	..	15000000	30000000	68000000	126000000	153000000	162000000	158000000	188000000	32000000	..	..	..	..	..	..	..	..	..	40000000	..	..	..	..	..	..	..	..	..	2000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Korea, Rep.	KOR	..	..	..	..	..	..	..	..	..	..	..	..	141000000	..	..	..	..	..	..	105000000	105000000	130000000	65000000	..	126000000	33000000	78000000	..	51000000	48000000	72000000	118000000	..	60000000	7000000	27000000	24000000	21000000	32000000	..	10000000	228000000	..	96000000	73000000	108000000	158000000	279000000	109000000	224000000	197000000	331000000	218000000	347000000	163000000	101000000	585000000	587000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Libya	LBY	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	26000000	4000000	..	8000000	398000000	95000000	107000000	168000000	14000000	54000000	32000000	10000000	14000000	64000000	7000000	36000000	..	..	..	3000000	..	..	3000000	10000000	..	..	..	21000000	16000000	113000000	113000000	18000000	10000000	18000000	32000000	28000000	0	..	..	..	..	..	..
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Netherlands	NLD	36000000	108000000	99000000	79000000	93000000	97000000	79000000	95000000	350000000	111000000	5000000	161000000	143000000	205000000	82000000	64000000	312000000	424000000	356000000	308000000	628000000	813000000	683000000	474000000	366000000	175000000	323000000	483000000	735000000	558000000	416000000	455000000	365000000	455000000	627000000	473000000	499000000	614000000	624000000	350000000	284000000	203000000	233000000	331000000	204000000	505000000	1146000000	1213000000	446000000	495000000	371000000	546000000	863000000	367000000	631000000	464000000	471000000	1167000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Norway	NOR	38000000	..	25000000	55000000	67000000	65000000	80000000	140000000	65000000	53000000	..	8000000	31000000	10000000	..	8000000	8000000	8000000	93000000	161000000	158000000	278000000	68000000	35000000	..	42000000	29000000	54000000	34000000	127000000	85000000	170000000	75000000	51000000	64000000	21000000	4000000	19000000	3000000	5000000	3000000	42000000	92000000	101000000	66000000	6000000	17000000	65000000	118000000	155000000	159000000	151000000	172000000	175000000	164000000	240000000	150000000	134000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Poland	POL	5000000	5000000	12000000	111000000	237000000	234000000	319000000	309000000	288000000	323000000	268000000	274000000	272000000	158000000	232000000	299000000	406000000	382000000	317000000	229000000	207000000	346000000	211000000	115000000	90000000	130000000	265000000	222000000	232000000	20000000	105000000	55000000	56000000	..	131000000	176000000	46000000	21000000	1000000	64000000	48000000	81000000	56000000	81000000	47000000	18000000	282000000	163000000	73000000	75000000	28000000	8000000	24000000	142000000	24000000	11000000	4000000	3000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Russian Federation	RUS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2605000000	3439000000	1478000000	3889000000	3572000000	3347000000	2040000000	4264000000	4503000000	5330000000	5734000000	5171000000	6281000000	5222000000	5143000000	5528000000	6232000000	4969000000	6091000000	8568000000	8283000000	7805000000	5224000000	5608000000	6937000000	6148000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Spain	ESP	1000000	5000000	6000000	6000000	7000000	21000000	21000000	7000000	7000000	6000000	70000000	140000000	4000000	4000000	84000000	267000000	46000000	25000000	38000000	18000000	10000000	130000000	251000000	352000000	242000000	85000000	177000000	148000000	141000000	174000000	108000000	100000000	65000000	98000000	237000000	82000000	105000000	625000000	162000000	43000000	46000000	8000000	16000000	95000000	52000000	108000000	840000000	601000000	602000000	951000000	263000000	1429000000	546000000	728000000	1050000000	1163000000	507000000	814000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Sweden	SWE	38000000	45000000	44000000	13000000	22000000	32000000	56000000	55000000	60000000	36000000	262000000	550000000	138000000	15000000	75000000	122000000	70000000	53000000	54000000	263000000	156000000	130000000	125000000	113000000	224000000	209000000	317000000	233000000	515000000	403000000	231000000	156000000	149000000	103000000	111000000	196000000	349000000	105000000	339000000	389000000	361000000	898000000	163000000	515000000	294000000	532000000	388000000	334000000	452000000	407000000	657000000	692000000	476000000	386000000	335000000	184000000	267000000	83000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Switzerland	CHE	442000000	500000000	530000000	337000000	379000000	484000000	367000000	261000000	91000000	104000000	18000000	42000000	34000000	54000000	89000000	395000000	480000000	260000000	196000000	446000000	553000000	589000000	454000000	345000000	475000000	316000000	319000000	308000000	318000000	261000000	404000000	432000000	396000000	184000000	133000000	139000000	186000000	118000000	211000000	276000000	178000000	207000000	158000000	184000000	254000000	252000000	294000000	301000000	458000000	228000000	241000000	326000000	229000000	174000000	339000000	437000000	186000000	186000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	Ukraine	UKR	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	165000000	82000000	236000000	167000000	256000000	558000000	708000000	732000000	270000000	511000000	310000000	307000000	199000000	292000000	544000000	631000000	388000000	414000000	479000000	569000000	1487000000	655000000	651000000	400000000	535000000	240000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	United Kingdom	GBR	2147000000	1174000000	1115000000	1297000000	1405000000	1473000000	1340000000	1976000000	1617000000	1761000000	887000000	2144000000	2364000000	2751000000	2337000000	2335000000	2434000000	2128000000	2141000000	1451000000	1638000000	2333000000	2525000000	2514000000	2532000000	2121000000	1968000000	3587000000	2551000000	3549000000	1867000000	1523000000	1180000000	1421000000	1539000000	1475000000	1662000000	2386000000	1413000000	1368000000	1623000000	1377000000	1090000000	744000000	1206000000	1060000000	987000000	974000000	967000000	1050000000	1151000000	1025000000	899000000	1580000000	1645000000	1149000000	1365000000	1214000000
Arms exports (SIPRI trend indicator values)	MS.MIL.XPRT.KD	United States	USA	6055000000	6338000000	5964000000	8944000000	12235000000	11155000000	8404000000	7256000000	8447000000	11762000000	9007000000	11723000000	10787000000	12025000000	12251000000	16157000000	15738000000	14431000000	14068000000	9719000000	10730000000	13611000000	14015000000	13939000000	11887000000	10801000000	11683000000	12258000000	11884000000	11344000000	10732000000	12515000000	14132000000	13847000000	11523000000	11216000000	10891000000	14552000000	15728000000	11568000000	7605000000	5693000000	4967000000	5670000000	6850000000	6777000000	7512000000	7866000000	6828000000	6912000000	8063000000	9087000000	9122000000	7660000000	9656000000	10048000000	10304000000	12394000000
