Series Name	Series Code	Country Name	Country Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Cyprus	CYP	..	..	..	..	..	..	..	..	..	..	..	990.5630747	1133.754351	1218.684608	1043.062931	1029.618856	1139.104594	1217.078771	1284.810568	1358.801549	1415.219592	1436.504332	1536.788964	1655.435924	1684.063883	1766.41035	1872.698609	1950.565401	2091.03043	2295.471371	2430.166942	2481.072722	2837.839695	3004.576483	3058.140507	2784.714234	2816.504718	2866.946741	3097.818432	3178.014146	3373.314138	3455.235025	3703.301855	3918.221592	3946.912639	4099.612906	4238.127075	4377.124635	4554.519709	4577.096667	4585.626371	4239.732939	4035.021875	3587.738745	3624.895753	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Czech Republic	CZE	..	..	..	..	..	..	..	..	..	..	..	3424.202043	3595.796844	3729.994741	3860.355236	4031.268703	4173.440113	4292.927434	4499.956942	4392.392362	4585.123745	4639.733778	4675.599957	4812.155458	4959.820286	5141.665211	5259.312138	5447.305282	5504.923287	5576.934733	5600.407612	5256.302082	5077.660185	5032.403649	5186.969442	5470.670661	5729.386255	5660.060028	5604.80954	5493.85153	5703.816739	5892.172595	5894.233119	6074.849142	6230.398228	6357.421095	6528.53015	6518.217413	6489.126257	6139.35206	6348.424398	6298.727678	6304.571923	6284.790806	6258.891037	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Denmark	DNK	1089.6141	1192.405296	1355.93162	1497.924104	1624.498737	1818.654796	1984.41608	2128.489455	2339.213502	2620.475647	2893.224397	3059.362184	3346.825344	3428.211175	3245.993249	3414.520001	3793.718246	3999.670625	4314.445536	4541.900301	4599.234008	4589.996977	4678.954475	4739.654345	4979.635611	5351.125048	5618.554627	5794.394565	5858.057563	5853.960005	5944.828367	6217.335513	6236.258477	6306.869562	6539.535706	6424.537292	6646.685948	6607.201412	6504.256329	6508.513381	6482.488628	6490.092993	6533.752014	6602.63638	6615.569959	6659.000427	6824.745939	6668.390266	6534.12385	6219.701092	6327.506456	6165.97362	6038.552307	6039.432	5858.801536	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Djibouti	DJI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Dominica	DMA	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Dominican Republic	DOM	..	..	..	..	..	..	..	..	..	..	..	327.5669742	308.4076376	399.8416177	364.3808822	402.3351751	381.1978019	421.2965401	409.3069436	471.2883226	440.8472047	442.4934354	327.5306721	365.2537782	443.1973691	474.9681608	482.7555609	476.3014175	379.0931778	333.3836438	388.5213179	398.3279509	540.265441	508.4435125	526.3733559	497.0590147	633.4448151	636.9838716	1090.355728	1267.749201	1313.61632	1273.639131	1373.483759	1347.382178	1112.600486	1215.904709	1308.564476	1335.388111	1352.355415	1299.786502	1366.237674	1397.613167	1466.279992	1516.540327	1578.151662	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Ecuador	ECU	..	..	..	..	..	..	..	..	..	..	..	144.5069361	149.4856434	163.3414581	174.4577908	196.3536891	223.5563172	252.2295875	291.9984115	327.5586856	360.1855212	385.0574727	404.5066449	409.4716224	412.636304	398.4090611	418.8546719	452.7505887	452.6050253	446.5101399	481.3032102	509.512006	522.9940367	517.8426989	550.440902	552.856441	613.1735248	656.1848716	688.5135793	637.0027288	637.521384	649.9773784	692.2397847	720.1119131	829.111227	799.7680127	868.1594676	958.927533	1083.989119	1111.203759	1143.780018	1217.339912	1281.545268	1333.265481	1380.610286	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Egypt, Arab Rep.	EGY	..	..	..	..	..	..	..	..	..	..	..	201.2080177	197.4169896	194.2484791	214.2632244	236.2986225	269.3754242	303.1700723	316.8458353	341.0119631	375.1546912	410.4916908	449.788075	494.3002305	512.0633754	487.7404106	578.7314347	607.8253648	621.7356769	643.0495221	662.7335315	678.627712	682.3458693	698.1408473	710.6563815	729.1916774	786.959499	826.1236163	869.8380968	926.6077687	961.9490679	1013.254255	1062.527547	1128.721384	1171.169753	1241.342768	1311.364488	1401.19247	1446.626135	1512.459428	1550.810993	1658.96445	1658.770042	1658.593226	1657.76872	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	El Salvador	SLV	..	..	..	..	..	..	..	..	..	..	..	169.7136328	181.7743507	203.8742164	216.0981796	210.2458695	240.1127445	259.8174026	282.2853386	290.3595304	274.1936611	260.1300349	256.0456396	276.6590519	286.9179415	297.1246136	301.8675499	319.9627047	329.5543008	330.508839	353.3788114	371.9030529	386.0874454	438.9842894	475.0272546	507.0293516	517.8136171	557.6355832	572.4464958	590.7106501	617.1149968	628.856061	669.6628101	696.3033793	692.7438539	758.339621	820.113604	885.3492453	858.7138342	848.9108197	859.743965	883.1565621	918.1440502	961.3204886	939.1533991	..	..	..	..
Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	Equatorial Guinea	GNQ	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
