CO2 emissions (kt)	EN.ATM.CO2E.KT	Japan	JPN	232781.16	283118.069	293220.654	325222.563	359318.329	386919.838	419743.155	489881.864	562565.471	653958.112	768823.22	797543.164	853373.239	915748.909	915873.587	870072.757	908902.62	935213.345	903886.164	955620.2	947571.135	929606.502	900200.829	883838.675	940130.792	915396.877	915334.538	905734.332	989081.575	1025549.89	1096179.977	1099381.268	1123847.492	1109887.223	1173315.322	1183447.243	1204690.174	1200788.486	1157829.581	1196516.431	1220527.947	1203377.388	1220047.57	1242093.574	1266009.748	1239255.316	1231495.944	1252229.162	1210135.669	1103869.676	1171624.835	1191074.603	1230168.49	1246515.976	1214048.358
CO2 emissions (kt)	EN.ATM.CO2E.KT	Korea, Rep.	KOR	12552.141	14462.648	17278.904	21103.585	22218.353	25005.273	30014.395	35151.862	37242.052	42522.532	53783.889	58616.995	60336.818	73094.311	75686.88	81829.105	93306.815	105712.276	113405.642	133211.109	134868.593	139742.036	141905.566	150904.384	163911.233	178333.544	182451.585	192660.513	221959.843	235846.772	246943.114	261482.769	284280.508	321951.599	344037.94	374771.067	403780.704	430032.757	364833.497	399864.348	447561.017	450193.923	465631.993	466215.046	482276.506	462922.08	470655.783	495675.724	507589.807	508862.256	566716.515	589400.577	583966.083	592499.192	587156.373
CO2 emissions (kt)	EN.ATM.CO2E.KT	Mexico	MEX	63116.404	65305.603	63809.467	66361.699	74278.752	75246.84	80930.69	90101.857	93988.877	102287.298	114073.036	126339.151	132459.374	144292.783	155007.757	164472.284	184138.405	192847.53	222649.239	240874.229	268453.736	284529.864	304837.71	278442.644	277624.903	288501.225	294559.109	307356.939	307067.246	361877.895	318427.612	331958.842	334698.091	339468.858	352780.068	332816.92	346417.823	369769.279	389087.035	391591.596	398382.88	412977.54	414389.335	440208.682	441308.782	466361.726	479251.231	480520.013	493251.837	475950.931	464308.206	484429.035	496324.783	490340.239	480270.657
CO2 emissions (kt)	EN.ATM.CO2E.KT	Netherlands	NLD	73505.015	75888.565	83358.244	91227.626	96867.472	100497.802	103655.089	106783.04	113552.322	115910.203	141934.902	140875.139	157794.677	165645.724	160445.918	153020.243	169683.091	164277.933	170548.503	187812.739	177508.469	164956.328	134322.21	138256.901	145055.519	147948.782	145095.856	152569.202	146914.688	163100.826	158403.399	165154.346	162224.413	164802.314	165323.028	178634.238	185847.227	178311.542	178439.887	173665.453	173504.105	176793.404	181663.18	182205.896	184835.135	181479.83	179638.996	176690.728	177020.758	172371.002	183052.973	174167.832	170310.148	173254.749	167303.208
CO2 emissions (kt)	EN.ATM.CO2E.KT	Poland	POL	199767.159	207434.856	216815.042	231219.018	243114.766	247221.806	252678.302	259282.569	276073.762	293653.36	304441.674	313246.141	329952.993	336128.221	346876.198	375559.472	399035.606	419024.423	432056.941	442489.556	464575.897	410062.275	422211.046	422339.391	433894.108	445899.866	453369.545	465353.301	445976.873	423787.856	368423.49	361643.207	354745.58	353253.111	333972.025	344213.956	355754.005	349523.772	325431.582	315721.366	299289.539	301284.387	294834.134	302252.475	304416.005	302538.501	318940.992	314272.901	314848.62	297617.387	316264.082	316997.482	299931.264	302278.144	285739.974
CO2 emissions (kt)	EN.ATM.CO2E.KT	Romania	ROU	53450.192	55775.07	63879.14	69529.987	72115.222	78723.156	84183.319	92129.708	100189.774	111649.149	120112.585	125829.438	132422.704	144960.177	150944.721	162257.416	174765.553	178399.55	193903.626	196074.49	196617.206	198153.679	195773.796	200562.898	189272.205	194343.666	202147.042	212165.286	212777.675	214141.799	174087.158	140288.419	128645.694	125297.723	119140.83	126049.458	125407.733	112624.571	99830.408	89742.491	90681.243	96632.784	97237.839	101062.52	96904.142	96456.768	103350.728	102224.959	96365.093	81576.082	79412.552	84880.049	81722.762	70945.449	70003.03
CO2 emissions (kt)	EN.ATM.CO2E.KT	Saudi Arabia	SAU	2676.91	3571.658	6255.902	6945.298	7047.974	4220.717	6413.583	25507.652	29104.979	35302.209	45291.117	59808.77	70344.061	95136.648	98788.98	83336.242	101550.231	118176.409	115132.799	138135.89	169404.399	175491.619	158091.704	161050.973	155715.488	172653.361	204878.957	190706.002	202554.079	203738.52	185803.223	267768.007	285534.622	313818.193	307961.994	235161.043	258750.854	216239.323	207680.545	226459.252	296935.325	297214.017	326407.004	327272.416	395834.315	397642.146	432739.003	387777.916	430175.77	468965.296	518491.798	499878.106	564842.678	541047.515	601046.969
CO2 emissions (kt)	EN.ATM.CO2E.KT	South Africa	ZAF	97934.569	102213.958	105767.281	109826.65	119657.877	128260.659	128356.001	133885.837	138084.552	143280.691	149763.947	168568.323	171725.61	173533.441	176734.732	185201.835	193115.221	199950.509	202099.371	218908.899	228454.1	257368.395	280749.187	292230.564	315948.72	324214.138	330855.075	329025.242	343055.184	341108.007	313304.813	326410.671	301687.757	321049.517	339168.164	362259.263	364400.791	386131.433	377726.669	375236.776	378665.421	372042.819	356637.752	404459.099	450186.589	416915.898	447894.714	466578.079	496772.157	503112.4	474099.096	470582.443	468770.945	466376.394	489771.854
CO2 emissions (kt)	EN.ATM.CO2E.KT	Spain	ESP	48928.781	53677.546	60054.459	58822.347	64410.855	71117.798	77729.399	86519.198	97157.165	96882.14	116929.629	128682.364	145026.183	155367.123	173152.073	181644.845	198443.372	195663.786	200493.225	203745.854	215003.544	207288.176	209906.414	204867.956	198953.085	201233.959	190467.647	190878.351	199033.759	226671.938	218597.204	225634.177	233921.597	219253.597	233404.55	241611.296	233305.541	252073.247	261541.441	282355.333	294434.431	297830.073	314518.59	321097.188	339428.521	353462.13	350037.152	358236.564	329285.599	288237.201	270910.626	270547.593	264779.402	237034.88	233976.602
CO2 emissions (kt)	EN.ATM.CO2E.KT	United Kingdom	GBR	584299.78	588938.535	593360.937	603822.888	608355.3	622619.93	618564.228	592517.527	606969.174	628857.497	653063.364	660863.073	648486.948	660034.331	617607.141	603643.205	598912.775	604746.972	605084.336	644893.288	579290.658	560819.979	548520.861	545741.275	529335.117	559855.558	568777.369	571868.65	570464.189	581721.879	555924.534	566830.192	556280.233	545711.939	546738.699	538117.582	551436.126	527343.936	531905.684	530937.596	541784.582	545862.286	528642.054	540006.087	539239.684	542580.321	541458.219	528425.701	520688.331	471719.213	493207.833	447828.708	468572.927	458250.322	419820.162
CO2 emissions (kt)	EN.ATM.CO2E.KT	United States	USA	2890696.1	2880505.507	2987207.873	3119230.874	3255995.306	3390922.571	3561878.111	3695708.943	3831354.94	4024748.853	4328904.501	4356770.034	4564952.958	4770194.948	4598487.673	4406329.539	4613100.668	4742292.745	4890861.25	4901796.244	4723209.677	4535800.308	4306748.487	4341878.347	4475192.132	4492555.377	4495463.308	4688373.177	4892526.068	4955081.421	4823403.118	4820847.219	4909533.614	5028674.444	5094354.081	5132919.92	5252112.088	5368715.354	5401010.623	5504669.379	5693684.894	5595794.329	5641309.133	5675701.926	5756075.232	5789727.291	5697285.888	5789030.561	5614110.994	5263505.457	5395532.125	5289680.503	5119436.361	5159160.972	5254279.285
CO2 emissions (kt)	EN.ATM.CO2E.KT	Venezuela, RB	VEN	57069.521	51928.387	54106.585	56204.109	56603.812	60787.859	57029.184	65815.316	65635.633	68998.272	74561.111	62562.687	62577.355	66501.045	75133.163	63816.801	57344.546	63732.46	68690.244	76570.627	90802.254	91968.36	93405.824	93101.463	93218.807	101278.873	109529.623	110981.755	116097.22	108854.895	122162.438	115440.827	105972.633	124391.974	129965.814	133350.455	122804.163	133988.513	167339.878	173122.737	152422.522	172587.355	193316.906	192103.129	151733.126	165095.674	169514.409	160786.949	179114.615	179789.343	189070.52	176822.74	198766.068	183922.052	185220.17
