Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Guinea-Bissau	GNB	42.367	42.172	42.035	41.954	41.924	41.943	42.007	42.117	42.274	42.478	42.734	43.049	43.427	43.867	44.365	44.933	45.59	46.325	47.104	47.883	48.588	49.137	49.48	49.59	49.464	49.127	48.631	48.055	47.464	46.892	46.351	45.83	45.301	44.748	44.18	43.612	43.062	42.548	42.084	41.676	41.33	41.045	40.807	40.601	40.416	40.242	40.073	39.902	39.717	39.507	39.254	38.946	38.579	38.154	37.675	37.146	36.579
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Jordan	JOR	51.634	52.36	52.928	53.286	53.409	53.299	52.994	52.556	52.037	51.454	50.793	50.021	49.115	48.079	46.943	45.765	44.615	43.55	42.606	41.798	41.105	40.484	39.874	39.234	38.557	37.855	37.158	36.508	35.932	35.434	35.012	34.653	34.33	34.015	33.694	33.349	32.965	32.545	32.098	31.633	31.171	30.736	30.352	30.029	29.771	29.578	29.442	29.34	29.244	29.132	28.975	28.746	28.436	28.045	27.576	27.043	26.469
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Kenya	KEN	51.274	51.173	51.062	50.949	50.842	50.753	50.695	50.67	50.674	50.7	50.735	50.762	50.763	50.724	50.638	50.504	50.33	50.127	49.9	49.645	49.355	49.019	48.627	48.168	47.637	47.008	46.252	45.376	44.409	43.394	42.408	41.54	40.85	40.367	40.093	39.996	40.015	40.061	40.062	39.982	39.808	39.552	39.249	38.923	38.571	38.177	37.713	37.167	36.537	35.836	35.091	34.336	33.606	32.929	32.32	31.782	31.309
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Libya	LBY	50.392	50.321	50.349	50.485	50.708	50.978	51.238	51.418	51.459	51.325	50.993	50.456	49.747	48.898	47.927	46.843	45.652	44.372	43.029	41.658	40.304	39.009	37.794	36.664	35.619	34.633	33.662	32.666	31.617	30.517	29.38	28.235	27.127	26.092	25.154	24.325	23.611	22.997	22.471	22.03	21.677	21.412	21.232	21.125	21.077	21.081	21.133	21.218	21.316	21.4	21.434	21.385	21.237	20.985	20.631	20.186	19.672
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Malawi	MWI	51.8	52.113	52.424	52.726	53.009	53.259	53.464	53.618	53.72	53.772	53.782	53.764	53.732	53.695	53.656	53.611	53.55	53.461	53.337	53.179	52.999	52.816	52.64	52.468	52.288	52.061	51.74	51.297	50.726	50.04	49.28	48.501	47.761	47.103	46.547	46.089	45.708	45.362	45.017	44.667	44.322	44.01	43.745	43.527	43.336	43.12	42.818	42.388	41.816	41.113	40.321	39.503	38.73	38.054	37.495	37.053	36.704
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Maldives	MDV	54.695	54.92	54.925	54.749	54.428	53.984	53.427	52.762	52.005	51.188	50.32	49.4	48.444	47.491	46.597	45.869	45.421	45.297	45.485	45.939	46.563	47.232	47.793	48.114	48.115	47.733	46.949	45.833	44.455	42.855	41.063	39.102	37.02	34.876	32.736	30.663	28.707	26.892	25.244	23.796	22.577	21.601	20.845	20.279	19.882	19.639	19.538	19.548	19.629	19.736	19.816	19.824	19.739	19.546	19.236	18.806	18.27
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Mali	MLI	50.189	50.132	50.103	50.099	50.113	50.143	50.184	50.233	50.282	50.326	50.357	50.369	50.361	50.331	50.28	50.208	50.118	50.015	49.904	49.789	49.668	49.538	49.399	49.254	49.109	48.977	48.872	48.802	48.769	48.77	48.795	48.83	48.858	48.869	48.858	48.83	48.798	48.772	48.76	48.756	48.757	48.755	48.735	48.681	48.579	48.411	48.161	47.825	47.408	46.915	46.359	45.751	45.115	44.47	43.834	43.219	42.634
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Mozambique	MOZ	49.898	49.612	49.324	49.049	48.799	48.591	48.44	48.345	48.299	48.294	48.309	48.322	48.311	48.26	48.164	48.027	47.865	47.695	47.532	47.378	47.221	47.042	46.83	46.582	46.31	46.042	45.813	45.652	45.571	45.568	45.626	45.717	45.803	45.852	45.851	45.794	45.688	45.551	45.396	45.224	45.03	44.809	44.553	44.26	43.931	43.568	43.178	42.768	42.347	41.92	41.491	41.062	40.633	40.204	39.778	39.36	38.953
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Nicaragua	NIC	51.459	50.333	49.26	48.306	47.517	46.926	46.536	46.299	46.165	46.107	46.094	46.098	46.096	46.064	45.981	45.837	45.632	45.377	45.078	44.725	44.302	43.792	43.184	42.48	41.683	40.804	39.856	38.861	37.841	36.816	35.797	34.792	33.799	32.823	31.87	30.948	30.058	29.201	28.38	27.602	26.879	26.224	25.638	25.119	24.657	24.237	23.839	23.444	23.037	22.61	22.163	21.702	21.24	20.788	20.35	19.925	19.511
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Niger	NER	58.122	58.195	58.228	58.215	58.153	58.039	57.873	57.666	57.433	57.189	56.951	56.735	56.553	56.411	56.316	56.275	56.291	56.35	56.437	56.537	56.626	56.681	56.688	56.641	56.539	56.391	56.214	56.032	55.86	55.705	55.565	55.433	55.296	55.142	54.967	54.768	54.546	54.306	54.051	53.781	53.496	53.193	52.871	52.533	52.182	51.821	51.456	51.091	50.73	50.377	50.034	49.701	49.377	49.058	48.745	48.438	48.136
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Oman	OMN	49.347	49.272	49.183	49.082	48.975	48.855	48.713	48.55	48.376	48.209	48.094	48.085	48.202	48.443	48.782	49.173	49.553	49.85	50.003	49.973	49.744	49.322	48.742	48.027	47.177	46.163	44.949	43.525	41.91	40.143	38.282	36.395	34.549	32.803	31.196	29.743	28.432	27.225	26.1	25.063	24.139	23.358	22.74	22.287	21.987	21.829	21.798	21.849	21.932	21.996	21.978	21.818	21.496	21.009	20.365	19.591	18.732
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Rwanda	RWA	52.248	51.642	51.036	50.471	49.985	49.617	49.398	49.327	49.393	49.59	49.911	50.341	50.846	51.384	51.92	52.42	52.86	53.228	53.505	53.67	53.7	53.581	53.319	52.926	52.407	51.765	51.002	50.138	49.201	48.223	47.243	46.299	45.412	44.596	43.857	43.187	42.561	41.949	41.33	40.702	40.082	39.498	38.972	38.513	38.111	37.741	37.368	36.957	36.482	35.935	35.314	34.633	33.919	33.199	32.485	31.786	31.105
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Sierra Leone	SLE	47.149	47.425	47.698	47.951	48.17	48.348	48.486	48.594	48.679	48.739	48.771	48.769	48.729	48.656	48.554	48.436	48.315	48.202	48.103	48.019	47.944	47.865	47.77	47.652	47.513	47.361	47.212	47.079	46.971	46.888	46.826	46.779	46.731	46.67	46.586	46.476	46.34	46.178	45.989	45.768	45.508	45.205	44.855	44.451	43.989	43.452	42.824	42.106	41.309	40.452	39.563	38.675	37.818	37.014	36.277	35.611	35.006
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Somalia	SOM	47.63	47.52	47.424	47.34	47.262	47.186	47.107	47.017	46.911	46.779	46.606	46.376	46.087	45.751	45.384	45.008	44.648	44.334	44.093	43.947	43.917	44.018	44.239	44.564	44.98	45.475	46.033	46.632	47.243	47.838	48.396	48.905	49.356	49.739	50.032	50.205	50.225	50.092	49.817	49.423	48.947	48.436	47.937	47.484	47.094	46.767	46.485	46.212	45.922	45.609	45.277	44.934	44.596	44.271	43.961	43.661	43.362
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	South Sudan	SSD	50.87	51.09	51.27	51.41	51.508	51.558	51.548	51.475	51.34	51.148	50.911	50.641	50.353	50.06	49.772	49.489	49.203	48.911	48.613	48.32	48.058	47.857	47.731	47.68	47.694	47.746	47.801	47.821	47.776	47.652	47.446	47.17	46.849	46.503	46.134	45.737	45.298	44.808	44.268	43.688	43.086	42.485	41.906	41.364	40.867	40.411	39.988	39.578	39.169	38.755	38.336	37.915	37.5	37.095	36.7	36.315	35.936
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Timor-Leste	TLS	46.228	46.235	46.208	46.127	45.972	45.726	45.379	44.929	44.373	43.703	42.847	41.717	40.321	38.739	37.099	35.665	34.747	34.524	35.054	36.279	37.978	39.818	41.45	42.625	43.261	43.401	43.213	42.97	42.884	43.021	43.419	44.062	44.824	45.576	46.236	46.673	46.758	46.452	45.771	44.762	43.547	42.296	41.172	40.29	39.69	39.352	39.195	39.08	38.898	38.61	38.202	37.687	37.123	36.558	36.012	35.504	35.048
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Uganda	UGA	49.557	49.427	49.319	49.231	49.16	49.098	49.039	48.979	48.916	48.851	48.789	48.736	48.699	48.684	48.691	48.721	48.769	48.831	48.9	48.974	49.05	49.129	49.21	49.294	49.38	49.472	49.573	49.683	49.798	49.909	50.003	50.064	50.082	50.051	49.969	49.843	49.684	49.508	49.323	49.131	48.93	48.711	48.464	48.18	47.858	47.494	47.088	46.646	46.176	45.685	45.179	44.666	44.15	43.636	43.129	42.631	42.144
Birth rate, crude (per 1,000 people)	SP.DYN.CBRT.IN	Yemen, Rep.	YEM	50.428	50.896	51.374	51.844	52.286	52.664	52.943	53.117	53.196	53.201	53.184	53.216	53.344	53.59	53.947	54.372	54.797	55.148	55.371	55.445	55.383	55.221	55.012	54.792	54.566	54.33	54.069	53.747	53.33	52.792	52.084	51.157	50.01	48.67	47.181	45.619	44.072	42.623	41.335	40.241	39.35	38.638	38.041	37.504	37.002	36.526	36.077	35.661	35.278	34.914	34.548	34.162	33.743	33.282	32.775	32.224	31.636
