Urban population	SP.URB.TOTL	Iran, Islamic Rep.	IRN	7390294	7730791	8086767	8458177	8845955	9250362	9673820	10147477	10660982	11195224	11751194	12330342	12936159	13573156	14250075	14973247	15744067	16524650	17342416	18235549	19215399	20283359	21433795	22658786	23945617	25278636	26664206	28013726	29327994	30562343	31672210	32626626	33589063	34521071	35464779	36488345	37619262	38788361	39994126	41196375	42352162	43450296	44507326	45534748	46552259	47575567	48605193	49603499	50597057	51614455	52664050	53750006	54859262	55981911	57106798	58217266	59308964	60380245
Urban population	SP.URB.TOTL	Italy	ITA	29799044	30249038	30708292	31188380	31702827	32227841	32737193	33233152	33703021	34152929	34592379	35012585	35369083	35720365	36065654	36393136	36687131	36955192	37198851	37418639	37607540	37764025	37819718	37822134	37819273	37818886	37809627	37802166	37809110	37826147	37846480	37861339	37907512	37964793	38006634	38041344	38086153	38140443	38185563	38226137	38277624	38333314	38447500	38686985	39006818	39267369	39454178	39722857	40056298	40308358	40502481	40641670	40894259	41548775	42109853	42247229	42351339	42473185
Urban population	SP.URB.TOTL	Japan	JPN	58526962	60965749	62428798	63957880	65516029	67107937	68559722	70019991	71062053	73357355	75000056	76805782	78731730	80216234	82593959	84756490	85642808	86538157	87391419	88197927	88958689	89733659	90474900	91224787	91937389	92632808	93348378	93963675	94519909	95061557	95542280	96005316	96414127	96821759	97320876	97862490	98272808	98667335	99095072	99434460	99760751	101706485	104055019	106256267	108136910	109856670	111383848	112827761	114107975	115228215	116302928	116416235	116331281	116262976	116208079	116182717	116145370	116053379
Urban population	SP.URB.TOTL	Korea, Rep.	KOR	6930929	7351204	7811004	8289479	8779189	9286249	9815880	10537106	11362681	12225296	13123306	13896560	14639182	15391092	16159311	16946391	17823527	18743336	19679806	20636698	21623805	22617087	23619800	24621925	25577374	26473134	27480866	28537079	29585374	30626132	31656393	32459655	33169705	33872973	34575766	35280305	35810625	36259672	36633453	37006183	37428328	37867709	38258247	38626122	38947802	39195731	39490771	39740941	40093884	40351067	40602657	40909592	41089082	41240244	41463573	41645542	41797024	41946498
Urban population	SP.URB.TOTL	Mexico	MEX	19374507	20323430	21311766	22339277	23405971	24511884	25656215	26839108	28070545	29361089	30708544	32112516	33582034	35100971	36647679	38202909	39760453	41319709	42882081	44448702	46013308	47472481	48931203	50393553	51861973	53340207	54826854	56322350	57837971	59388676	60961740	62531277	64142034	65774117	67401025	68999360	70492946	71919417	73311685	74664754	76006974	77346681	78647604	79950808	81313433	82772988	84348376	86024517	87771922	89539653	91291734	93022403	94735434	96434582	98126368	99812639	101492842	103158834
Urban population	SP.URB.TOTL	Nigeria	NGA	6955737	7201014	7457881	7726947	8006600	8296555	8598370	8912244	9239947	9582542	9942297	10399654	10881326	11392129	11941851	12535293	13178960	13870654	14602923	15361978	16139321	17112649	18120138	19167890	20270118	21434269	22668099	23971572	25343264	26778168	28276132	29489895	30744969	32043165	33388301	34785092	36237343	37742894	39306959	40933959	42627440	44751552	46973642	49299659	51736609	54289212	56964348	59765965	62697869	65756801	68949828	72262044	75695329	79244238	82904673	86673723	90545336	94524992
Urban population	SP.URB.TOTL	Pakistan	PAK	9926529	10347061	10720126	11112109	11523791	11954220	12405301	12876828	13369248	13882298	14416384	14971922	15551089	16187999	16869660	17592601	18360055	19171800	20031990	20943583	21910605	22901793	23881372	24904636	25966516	27060887	28186848	29342985	30523630	31718551	32923813	34133759	35349197	36576470	37825621	39103888	40416132	41757059	43094726	44390013	45687750	46983357	48285553	49598802	50935093	52301583	53701011	55133700	56604668	58121560	59690947	61316345	62994916	64713306	66460814	68226224	70005347	71796554
Urban population	SP.URB.TOTL	Philippines	PHL	7959938	8300149	8653512	9017542	9390365	9770039	10155874	10548828	10951256	11365801	11808042	12342524	12899187	13476877	14076175	14684546	15250787	15834158	16436759	17060795	17753008	18703864	19698447	20736378	21818974	22943593	24114056	25329618	26588029	27884133	29106581	29786102	30465089	31145660	31828789	32515509	33204578	33894744	34586915	35282412	35981410	36685878	37393474	38095060	38778516	39435954	40063047	40664255	41251260	41841535	42488153	43372424	44279679	45205748	46140130	47078400	48018073	48977863
Urban population	SP.URB.TOTL	Poland	POL	14193968	14540630	14828737	15149001	15484714	15762096	16007142	16289779	16575555	16835934	17026266	17266414	17626595	18005216	18398446	18803602	19215135	19625330	20007316	20341874	20663601	20985955	21314754	21651242	21984900	22299554	22589785	22855463	23089202	23241946	23350476	23450653	23539562	23616843	23684074	23733222	23768665	23801620	23827143	23842562	23611695	23622394	23621395	23563051	23506503	23453429	23396235	23340838	23300939	23274004	23165018	23134846	23086831	23025350	22960228	22897449	22849639	22825379
Urban population	SP.URB.TOTL	Russian Federation	RUS	64421857	66226377	68060071	69923357	71815164	73731369	75267305	76812479	78366306	79922296	81464683	82992261	84524649	86061054	87600777	89145034	90810675	92479950	94157479	95659612	96960865	98228786	99464693	100677781	102058393	103466989	104825013	106169956	107471421	108424260	108837430	109073667	109115423	108985461	108843023	108866238	108700578	108515107	108329743	107987645	107528575	107067618	106568907	106132766	105771150	105433013	105152847	105037426	105055515	105149982	105261473	105407907	105669949	105998510	106354643	106703732	107050095	107348258
Urban population	SP.URB.TOTL	Spain	ESP	17227480	17614512	18089104	18560792	19059712	19580951	20096611	20660198	21248036	21772801	22330440	22878387	23372204	23870859	24372582	24876771	25379947	25880544	26368356	26838008	27289444	27669147	27925417	28151118	28357570	28549379	28723937	28887112	29036437	29169746	29286916	29430524	29607126	29793326	29967941	30133075	30291556	30451227	30610090	30767125	30937864	31186430	31708814	32390830	33059302	33727737	34408810	35159317	35833174	36260460	36535850	36773882	36904876	36891840	36890017	36971015	37112875	37294880
Urban population	SP.URB.TOTL	Turkey	TUR	8657905	9025020	9398918	9785801	10186257	10601117	11084941	11613794	12164205	12737046	13334592	13911375	14488541	15085598	15701103	16333821	16914559	17474294	18048164	18640045	19252658	20329788	21630537	22977479	24362096	25769739	27034294	28238856	29455629	30682086	31923263	32891157	33738104	34589934	35453749	36333494	37230423	38142741	39068789	40002789	40942287	41942709	42977478	44014467	45046031	46065671	47068551	48059010	49062187	50109357	51225537	52415819	53670916	54969310	56291672	57616413	58945742	60271313
Urban population	SP.URB.TOTL	Ukraine	UKR	19962473	20539872	21128369	21720462	22307575	22924717	23525932	24111725	24688197	25262835	25818142	26350427	26888456	27426232	27958605	28469885	28968286	29454273	29931076	30388565	30827259	31287683	31693551	32110163	32533314	32933625	33344880	33766182	34209429	34541910	34641542	34734234	34854630	34894325	34741407	34487999	34203211	33912723	33630036	33333798	33019123	32707281	32432088	32238838	32075858	31932581	31801166	31694727	31605915	31547432	31465465	31395063	31359984	31330962	31223156	31183824	31122512	31043784
Urban population	SP.URB.TOTL	United Kingdom	GBR	41104656	41381472	41661202	41900114	42098400	42294196	42452048	42603817	42733856	42833742	42925829	43056861	43295638	43470962	43590038	43677888	43757644	43833733	43925435	44054299	44195960	44271630	44228171	44215089	44257473	44329755	44404206	44470325	44540723	44628280	44733264	44855736	45011752	45154426	45304828	45459651	45610451	45762480	45931122	46119137	46319551	46557334	46930583	47323791	47767769	48269624	48798541	49351705	49913475	50463084	51030310	51600299	52130415	52650556	53218629	53813373	54369540	54892898
Urban population	SP.URB.TOTL	United States	USA	126462473	129276215	131988693	134615404	137215986	139663053	142008703	144288757	146463196	148629124	150922373	152865492	154531732	156034954	157488501	159070594	160611122	162256678	164005080	165847531	167551171	169552427	171528659	173459636	175321738	177239105	179244877	181215212	183232441	185333919	187966119	191509147	195199459	198806845	202278113	205718394	209146726	212694273	216206090	219721677	223069137	225792302	228400290	230876596	233532722	236200507	238999326	241795278	244607104	247276259	249858829	252257346	254708202	257095490	259623192	262196447	264746567	267278643
